param w :=
    80 1 0.27
    80 2 0.2
    80 3 0.463
    81 1 0.28
    81 2 0.08
    81 3 0.323
    82 1 0.2
    82 2 0.23
    82 3 0.323
    83 1 0.23
    83 2 0.09
    83 3 0.265
    84 1 0.124
    84 2 0.525
    84 3 0.33
    85 1 0.23
    85 2 0.2
    85 3 0.19
    86 1 0.15
    86 2 0.187
    86 3 0.333
    87 1 0.187
    87 2 0.213
    87 3 0.465
    88 1 0.213
    88 2 0.18
    88 3 0.27
    89 1 0.14
    89 2 0.22
    89 3 0.27
    90 1 0.196
    90 2 0.22
    90 3 0.34
    91 1 0.29
    91 2 0.187
    91 3 0.313
    92 1 0.24
    92 2 0.465
    92 3 0.4
    93 1 0.26
    93 2 0.14
    93 3 0.34
    94 1 0.13
    94 2 0.14
    94 3 0.28
    95 1 0.14
    95 2 0.15
    95 3 0.247
    96 1 0.48
    96 2 0.24
    96 3 0.395
    97 1 0.29
    97 2 0.23
    97 3 0.35
    98 1 0.15
    98 2 0.177
    98 3 0.355
    99 1 0.173
    99 2 0.213
    99 3 0.26
    100 1 0.14
    100 2 0.14
    100 3 0.5
    101 1 0.24
    101 2 0.6
    101 3 0.375
    102 1 0.51
    102 2 0.51
    102 3 0.267
    103 1 0.24
    103 2 0.83
    103 3 0.317
    104 1 0.23
    104 2 0.23
    104 3 0.31
    105 1 0.307
    105 2 0.247
    105 3 0.58
    106 1 0.14
    106 2 0.193
    106 3 0.18
    107 1 0.2
    107 2 0.28
    107 3 0.35
    108 1 0.244
    108 2 0.24
    108 3 0.353
    109 1 0.247
    109 2 0.244
    109 3 0.297
    110 1 0.28
    110 2 0.585
    110 3 0.46
    111 1 0.22
    111 2 0.23
    111 3 0.49
    112 1 0.19
    112 2 0.327
    112 3 0.5
    113 1 0.3
    113 2 0.23
    113 3 0.26
    114 1 0.24
    114 2 0.21
    114 3 0.323
    115 1 0.34
    115 2 0.23
    115 3 0.164
    116 1 0.23
    116 2 0.22
    116 3 0.28
    117 1 0.177
    117 2 0.23
    117 3 0.3
    118 1 0.23
    118 2 0.61
    118 3 0.33
    119 1 0.36
    119 2 0.29
    119 3 0.182
    120 1 0.66
    120 2 0.26
    120 3 0.32
    121 1 0.203
    121 2 0.34
    121 3 0.57
    122 1 0.62
    122 2 0.36
    122 3 0.4
    123 1 0.25
    123 2 0.31
    123 3 0.5
    124 1 0.14
    124 2 0.173
    124 3 0.5
    125 1 0.285
    125 2 0.28
    125 3 0.38
    126 1 0.27
    126 2 0.185
    126 3 0.38
    127 1 0.58
    127 2 0.29
    127 3 0.29
    128 1 0.2
    128 2 0.3
    128 3 0.38
    129 1 0.2
    129 2 0.19
    129 3 0.24
    130 1 0.2
    130 2 0.145
    130 3 0.347
    131 1 0.24
    131 2 0.25
    131 3 0.293
    132 1 0.092
    132 2 0.66
    132 3 0.42
    133 1 0.38
    133 2 0.62
    133 3 0.49
    134 1 0.18
    134 2 0.203
    134 3 0.44
    135 1 0.24
    135 2 0.092
    135 3 0.29
    136 1 0.18
    136 2 0.51
    136 3 0.288
    137 1 0.26
    137 2 0.24
    137 3 0.38
    138 1 0.287
    138 2 0.42
    138 3 0.247
    139 1 0.18
    139 2 0.27
    139 3 0.5
    140 1 0.16
    140 2 0.67
    140 3 0.357
    141 1 0.23
    141 2 0.25
    141 3 0.39
    142 1 0.27
    142 2 0.363
    142 3 0.267
    143 1 0.24
    143 2 0.16
    143 3 0.287
    144 1 0.2
    144 2 0.23
    144 3 0.307
    145 1 0.51
    145 2 0.235
    145 3 0.22
    146 1 0.08
    146 2 0.2
    146 3 0.405
    147 1 0.42
    147 2 0.25
    147 3 0.28
    148 1 0.2
    148 2 0.156
    148 3 0.29
    149 1 0.18
    149 2 0.18
    149 3 0.28
    150 1 0.22
    150 2 0.27
    150 3 0.263
    151 1 0.25
    151 2 0.2
    151 3 0.58
    152 1 0.43
    152 2 0.36
    152 3 0.293
    153 1 0.72
    153 2 0.2
    153 3 0.72
    154 1 0.3
    154 2 0.2
    154 3 0.39
    155 1 0.22
    155 2 0.38
    155 3 0.327
    156 1 0.24
    156 2 0.58
    156 3 0.265
    157 1 0.5
    157 2 0.3
    157 3 0.425
    158 1 0.133
    158 2 0.24
    158 3 0.295
    159 1 0.293
    159 2 0.25
    159 3 0.425
    160 1 0.22
    160 2 0.38
    160 3 0.3
    161 1 0.16
    161 2 0.2
    161 3 0.36
    162 1 0.187
    162 2 0.26
    162 3 0.317
    163 1 0.11
    163 2 0.08
    163 3 0.27
    164 1 0.24
    164 2 0.24
    164 3 0.297
    165 1 0.25
    165 2 0.18
    165 3 0.24
    166 1 0.25
    166 2 0.245
    166 3 0.3
    167 1 0.22
    167 2 0.2
    167 3 0.353
    168 1 0.2
    168 2 0.75
    168 3 0.3
    169 1 0.293
    169 2 0.285
    169 3 0.3
    170 1 0.08
    170 2 0.3
    170 3 0.203
    171 1 0.187
    171 2 0.43
    171 3 0.5
    172 1 0.255
    172 2 0.2
    172 3 0.323
    173 1 0.19
    173 2 0.22
    173 3 0.275
    174 1 0.23
    174 2 0.36
    174 3 0.36
    175 1 0.23
    175 2 0.187
    175 3 0.385
    176 1 0.34
    176 2 0.64
    176 3 0.335
    177 1 0.66
    177 2 0.428
    177 3 0.2
    178 1 0.19
    178 2 0.187
    178 3 0.313
    179 1 0.25
    179 2 0.355
    179 3 0.425
    180 1 0.565
    180 2 0.51
    180 3 0.255
    181 1 0.31
    181 2 0.247
    181 3 0.42
    182 1 0.355
    182 2 0.11
    182 3 0.208
    183 1 0.147
    183 2 0.22
    183 3 0.37
    184 1 0.185
    184 2 0.87
    184 3 0.44
    185 1 0.56
    185 2 0.32
    185 3 0.4
    186 1 0.275
    186 2 0.187
    186 3 0.273
    187 1 0.22
    187 2 0.5
    187 3 0.24
    188 1 0.27
    188 2 0.34
    188 3 0.285
    189 1 0.24
    189 2 0.23
    189 3 0.46
    190 1 0.35
    190 2 0.32
    190 3 0.337
    191 1 0.2
    191 2 0.575
    191 3 0.2
    192 1 0.165
    192 2 0.27
    192 3 0.263
    193 1 0.63
    193 2 0.24
    193 3 0.285
    194 1 0.187
    194 2 0.22
    194 3 0.28
    195 1 0.16
    195 2 0.207
    195 3 0.2
    196 1 0.253
    196 2 0.31
    196 3 0.2
    197 1 0.22
    197 2 0.297
    197 3 0.25
    198 1 0.193
    198 2 0.79
    198 3 0.27
    199 1 0.49
    199 2 0.66
    199 3 0.3
    200 1 0.24
    200 2 0.565
    200 3 0.31
    201 1 0.213
    201 2 0.645
    201 3 0.27
    202 1 0.31
    202 2 0.293
    202 3 0.3
    203 1 0.21
    203 2 0.293
    203 3 0.24
    204 1 0.37
    204 2 0.19
    204 3 0.51
    205 1 0.42
    205 2 0.19
    205 3 0.323
    206 1 0.68
    206 2 0.255
    206 3 0.268
    207 1 0.25
    207 2 0.23
    207 3 0.29
    208 1 0.16
    208 2 0.166
    208 3 0.56
    209 1 0.13
    209 2 0.25
    209 3 0.303
    210 1 0.14
    210 2 0.25
    210 3 0.295
    211 1 0.28
    211 2 0.11
    211 3 0.277
    212 1 0.485
    212 2 0.147
    212 3 0.285
    213 1 0.55
    213 2 0.56
    213 3 0.555
    214 1 0.104
    214 2 0.33
    214 3 0.42
    215 1 0.28
    215 2 0.315
    215 3 0.38
    216 1 0.207
    216 2 0.5
    216 3 0.297
    217 1 0.13
    217 2 0.353
    217 3 0.207
    218 1 0.233
    218 2 0.13
    218 3 0.56
    219 1 0.58
    219 2 0.213
    219 3 0.19
    220 1 0.6
    220 2 0.63
    220 3 0.365
    221 1 0.307
    221 2 0.27
    221 3 0.173
    222 1 0.238
    222 2 0.16
    222 3 0.277
    223 1 0.0
    223 2 0.55
    223 3 0.375
    224 1 0.0
    224 2 0.69
    224 3 0.375
    225 1 0.0
    225 2 0.16
    225 3 0.355
    226 1 0.0
    226 2 0.49
    226 3 0.375
    227 1 0.0
    227 2 0.28
    227 3 0.44
    228 1 0.0
    228 2 0.313
    228 3 0.343
    229 1 0.0
    229 2 0.25
    229 3 0.22
    230 1 0.0
    230 2 0.24
    230 3 0.415
    231 1 0.0
    231 2 0.233
    231 3 0.52
    232 1 0.0
    232 2 0.207
    232 3 0.26
    233 1 0.0
    233 2 0.405
    233 3 0.333
    234 1 0.0
    234 2 0.18
    234 3 0.48
    235 1 0.0
    235 2 0.68
    235 3 0.283
    236 1 0.0
    236 2 0.33
    236 3 0.365
    237 1 0.0
    237 2 0.35
    237 3 0.325
    238 1 0.0
    238 2 0.485
    238 3 0.395
    239 1 0.0
    239 2 0.253
    239 3 0.38
    240 1 0.0
    240 2 0.58
    240 3 0.297
    241 1 0.0
    241 2 0.0
    241 3 0.26
    242 1 0.0
    242 2 0.0
    242 3 0.39
    243 1 0.0
    243 2 0.0
    243 3 0.55
    244 1 0.0
    244 2 0.0
    244 3 0.47
    245 1 0.0
    245 2 0.0
    245 3 0.41
    246 1 0.0
    246 2 0.0
    246 3 0.29
    247 1 0.0
    247 2 0.0
    247 3 0.3
    248 1 0.0
    248 2 0.0
    248 3 0.43
    249 1 0.0
    249 2 0.0
    249 3 0.325
    250 1 0.0
    250 2 0.0
    250 3 0.18
    251 1 0.0
    251 2 0.0
    251 3 0.37
    252 1 0.0
    252 2 0.0
    252 3 0.46
    253 1 0.0
    253 2 0.0
    253 3 0.295
    254 1 0.0
    254 2 0.0
    254 3 0.253
    255 1 0.0
    255 2 0.0
    255 3 0.43
    256 1 0.0
    256 2 0.0
    256 3 0.28
    257 1 0.0
    257 2 0.0
    257 3 0.18
    258 1 0.0
    258 2 0.0
    258 3 0.32
    259 1 0.0
    259 2 0.0
    259 3 0.273
    260 1 0.0
    260 2 0.0
    260 3 0.3
    261 1 0.0
    261 2 0.0
    261 3 0.32
    262 1 0.0
    262 2 0.0
    262 3 0.303
    263 1 0.0
    263 2 0.0
    263 3 0.287
    264 1 0.0
    264 2 0.0
    264 3 0.305
    265 1 0.0
    265 2 0.0
    265 3 0.298
    266 1 0.0
    266 2 0.0
    266 3 0.21
    267 1 0.0
    267 2 0.0
    267 3 0.28
    268 1 0.0
    268 2 0.0
    268 3 0.42
    269 1 0.0
    269 2 0.0
    269 3 0.313
    270 1 0.0
    270 2 0.0
    270 3 0.22
    271 1 0.0
    271 2 0.0
    271 3 0.38
    272 1 0.0
    272 2 0.0
    272 3 0.273
    273 1 0.0
    273 2 0.0
    273 3 0.36
    274 1 0.0
    274 2 0.0
    274 3 0.192
    275 1 0.0
    275 2 0.0
    275 3 0.19
    276 1 0.0
    276 2 0.0
    276 3 0.52
    277 1 0.0
    277 2 0.0
    277 3 0.28
    278 1 0.0
    278 2 0.0
    278 3 0.234
    279 1 0.0
    279 2 0.0
    279 3 0.22
    280 1 0.0
    280 2 0.0
    280 3 0.5
    281 1 0.0
    281 2 0.0
    281 3 0.267
    282 1 0.0
    282 2 0.0
    282 3 0.253
    283 1 0.0
    283 2 0.0
    283 3 0.313
    284 1 0.0
    284 2 0.0
    284 3 0.33
    285 1 0.0
    285 2 0.0
    285 3 0.253
    286 1 0.0
    286 2 0.0
    286 3 0.3
    287 1 0.0
    287 2 0.0
    287 3 0.31
    288 1 0.0
    288 2 0.0
    288 3 0.56
    289 1 0.0
    289 2 0.0
    289 3 1.14
    290 1 0.0
    290 2 0.0
    290 3 0.447
    291 1 0.0
    291 2 0.0
    291 3 0.28
    292 1 0.0
    292 2 0.0
    292 3 0.19
    293 1 0.0
    293 2 0.0
    293 3 0.44
    294 1 0.0
    294 2 0.0
    294 3 0.27
    295 1 0.0
    295 2 0.0
    295 3 0.413
    296 1 0.0
    296 2 0.0
    296 3 0.343
    297 1 0.0
    297 2 0.0
    297 3 0.31
    298 1 0.0
    298 2 0.0
    298 3 0.27
    299 1 0.0
    299 2 0.0
    299 3 0.287
    300 1 0.0
    300 2 0.0
    300 3 0.37
    301 1 0.0
    301 2 0.0
    301 3 0.23
    302 1 0.0
    302 2 0.0
    302 3 0.195
    303 1 0.0
    303 2 0.0
    303 3 0.293
    304 1 0.0
    304 2 0.0
    304 3 0.135
    305 1 0.0
    305 2 0.0
    305 3 0.247
    306 1 0.0
    306 2 0.0
    306 3 0.283
    307 1 0.0
    307 2 0.0
    307 3 0.3
    308 1 0.0
    308 2 0.0
    308 3 0.171
    309 1 0.0
    309 2 0.0
    309 3 0.515
    310 1 0.0
    310 2 0.0
    310 3 0.445
    311 1 0.0
    311 2 0.0
    311 3 0.29
    312 1 0.0
    312 2 0.0
    312 3 0.445
    313 1 0.0
    313 2 0.0
    313 3 0.345
    314 1 0.0
    314 2 0.0
    314 3 0.267
    315 1 0.0
    315 2 0.0
    315 3 0.345
    316 1 0.0
    316 2 0.0
    316 3 0.29
    317 1 0.0
    317 2 0.0
    317 3 0.18
    318 1 0.0
    318 2 0.0
    318 3 0.37
    319 1 0.0
    319 2 0.0
    319 3 0.37
    320 1 0.0
    320 2 0.0
    320 3 0.23
    321 1 0.0
    321 2 0.0
    321 3 0.328
    322 1 0.0
    322 2 0.0
    322 3 0.5
    323 1 0.0
    323 2 0.0
    323 3 0.27
    324 1 0.0
    324 2 0.0
    324 3 0.31
    325 1 0.0
    325 2 0.0
    325 3 0.33
    326 1 0.0
    326 2 0.0
    326 3 0.22
    327 1 0.0
    327 2 0.0
    327 3 0.18
    328 1 0.0
    328 2 0.0
    328 3 0.355
    329 1 0.0
    329 2 0.0
    329 3 0.215
    330 1 0.0
    330 2 0.0
    330 3 0.171
    331 1 0.0
    331 2 0.0
    331 3 0.293
    332 1 0.0
    332 2 0.0
    332 3 0.375
    333 1 0.0
    333 2 0.0
    333 3 0.3
    334 1 0.0
    334 2 0.0
    334 3 0.32
    335 1 0.0
    335 2 0.0
    335 3 0.44
;
param v :=
    1 1 3375000.0
    1 2 13204884.0
    1 3 3314058.0
    2 1 3373608.0
    2 2 3779325.0
    2 3 2918472.0
    3 1 2903580.0
    3 2 12661800.0
    3 3 4718000.0
    4 1 2947287.0
    4 2 3128300.0
    4 3 7765314.0
    5 1 9139475.0
    5 2 2776813.0
    5 3 3341250.0
    6 1 3131100.0
    6 2 4635900.0
    6 3 2771340.0
    7 1 4999280.0
    7 2 9139475.0
    7 3 5673276.0
    8 1 2268432.0
    8 2 14530705.0
    8 3 3992508.0
    9 1 2520000.0
    9 2 4687065.0
    9 3 4274050.0
    10 1 3492640.0
    10 2 2683200.0
    10 3 2957616.0
    11 1 2251792.0
    11 2 1904040.0
    11 3 4828500.0
    12 1 2721224.0
    12 2 2982496.0
    12 3 6564960.0
    13 1 2683200.0
    13 2 3553858.0
    13 3 4574608.0
    14 1 12661800.0
    14 2 5374570.0
    14 3 3748954.0
    15 1 2982496.0
    15 2 5529216.0
    15 3 8898984.0
    16 1 2909280.0
    16 2 1698240.0
    16 3 7888952.0
    17 1 4242420.0
    17 2 4706352.0
    17 3 3303008.0
    18 1 5529216.0
    18 2 8890560.0
    18 3 4774110.0
    19 1 13888005.0
    19 2 2640146.0
    19 3 4911030.0
    20 1 3976128.0
    20 2 3399264.0
    20 3 4603816.0
    21 1 4687065.0
    21 2 2947287.0
    21 3 5181280.0
    22 1 5225394.0
    22 2 6306300.0
    22 3 4694172.0
    23 1 2587032.0
    23 2 8274630.0
    23 3 2944920.0
    24 1 6044220.0
    24 2 9597690.0
    24 3 7213458.0
    25 1 1698240.0
    25 2 2173500.0
    25 3 3430336.0
    26 1 2640146.0
    26 2 1661569.0
    26 3 7758080.0
    27 1 3399264.0
    27 2 2776813.0
    27 3 2686024.0
    28 1 2173500.0
    28 2 7018818.0
    28 3 3553770.0
    29 1 1134315.0
    29 2 3976128.0
    29 3 5708736.0
    30 1 8274630.0
    30 2 2251792.0
    30 3 2957400.0
    31 1 2173500.0
    31 2 6044220.0
    31 3 7557600.0
    32 1 2776813.0
    32 2 2721224.0
    32 3 3426524.0
    33 1 2268432.0
    33 2 3492640.0
    33 3 8590293.0
    34 1 4706352.0
    34 2 11630520.0
    34 3 2108970.0
    35 1 2395232.0
    35 2 2520000.0
    35 3 2400948.0
    36 1 3515200.0
    36 2 3373608.0
    36 3 3670800.0
    37 1 2982525.0
    37 2 4242420.0
    37 3 5895408.0
    38 1 2985318.0
    38 2 2565000.0
    38 3 3200700.0
    39 1 7065954.0
    39 2 2903580.0
    39 3 3854340.0
    40 1 7018818.0
    40 2 13888005.0
    40 3 3133000.0
    41 1 1604044.0
    41 2 2587032.0
    41 3 3167100.0
    42 1 1904040.0
    42 2 5225394.0
    42 3 6564960.0
    43 1 7270900.0
    43 2 2268432.0
    43 3 8146740.0
    44 1 4956960.0
    44 2 2982525.0
    44 3 7710888.0
    45 1 4173600.0
    45 2 3131100.0
    45 3 2173410.0
    46 1 1675296.0
    46 2 2395232.0
    46 3 14521788.0
    47 1 5359360.0
    47 2 1134315.0
    47 3 4660929.0
    48 1 9267380.0
    48 2 1604044.0
    48 3 3609620.0
    49 1 1903104.0
    49 2 3515200.0
    49 3 4101300.0
    50 1 3762160.0
    50 2 4999280.0
    50 3 3273452.0
    51 1 6489424.0
    51 2 2268432.0
    51 3 7761408.0
    52 1 1806140.0
    52 2 4173600.0
    52 3 1767399.0
    53 1 6619136.0
    53 2 4956960.0
    53 3 2119050.0
    54 1 1994538.0
    54 2 3024648.0
    54 3 4185000.0
    55 1 2494284.0
    55 2 4749120.0
    55 3 3316950.0
    56 1 2297394.0
    56 2 2188900.0
    56 3 2520000.0
    57 1 2240700.0
    57 2 16042250.0
    57 3 1767399.0
    58 1 2476305.0
    58 2 2951520.0
    58 3 4980352.0
    59 1 7481955.0
    59 2 17075520.0
    59 3 3201576.0
    60 1 2663280.0
    60 2 10125024.0
    60 3 6157662.0
    61 1 3585840.0
    61 2 3228148.0
    61 3 1989680.0
    62 1 2727900.0
    62 2 2405898.0
    62 3 4101300.0
    63 1 2411136.0
    63 2 2839428.0
    63 3 2494206.0
    64 1 3788928.0
    64 2 6619136.0
    64 3 4876920.0
    65 1 2474655.0
    65 2 2727900.0
    65 3 3624816.0
    66 1 2322540.0
    66 2 7808850.0
    66 3 3842250.0
    67 1 2675400.0
    67 2 8439552.0
    67 3 4876920.0
    68 1 3008300.0
    68 2 3008300.0
    68 3 7524404.0
    69 1 2829400.0
    69 2 2829400.0
    69 3 4890560.0
    70 1 16042250.0
    70 2 3585840.0
    70 3 10271664.0
    71 1 2951520.0
    71 2 3762160.0
    71 3 7898490.0
    72 1 2839428.0
    72 2 2476305.0
    72 3 7830580.0
    73 1 3231750.0
    73 2 1189422.0
    73 3 3304375.0
    74 1 8439552.0
    74 2 2675400.0
    74 3 8504210.0
    75 1 2790992.0
    75 2 2297394.0
    75 3 4793085.0
    76 1 6700320.0
    76 2 7481955.0
    76 3 8354990.0
    77 1 19290320.0
    77 2 3788928.0
    77 3 3679032.0
    78 1 3231750.0
    78 2 3337672.0
    78 3 4383400.0
    79 1 3690000.0
    79 2 5460672.0
    79 3 3473625.0
    80 1 1189422.0
    80 2 2406924.0
    80 3 7189344.0
    81 1 3337672.0
    81 2 3231750.0
    81 3 4411764.0
    82 1 2406924.0
    82 2 2076465.0
    82 3 4543812.0
    83 1 3975036.0
    83 2 1675296.0
    83 3 4515600.0
    84 1 1994538.0
    84 2 9267380.0
    84 3 4999365.0
    85 1 3975036.0
    85 2 2406924.0
    85 3 1368000.0
    86 1 2999568.0
    86 2 2790992.0
    86 3 3803232.0
    87 1 2790992.0
    87 2 2663280.0
    87 3 6622560.0
    88 1 2663280.0
    88 2 2474655.0
    88 3 1712529.0
    89 1 2315775.0
    89 2 2322540.0
    89 3 3150504.0
    90 1 2104893.0
    90 2 2839428.0
    90 3 3898720.0
    91 1 5299692.0
    91 2 2790992.0
    91 3 2971674.0
    92 1 3669489.0
    92 2 6700320.0
    92 3 5737834.0
    93 1 3721842.0
    93 2 1425450.0
    93 3 4896056.0
    94 1 2298345.0
    94 2 2315775.0
    94 3 4735808.0
    95 1 3373608.0
    95 2 2999568.0
    95 3 4708440.0
    96 1 5155920.0
    96 2 3291750.0
    96 3 7765030.0
    97 1 4475744.0
    97 2 2275000.0
    97 3 2645517.0
    98 1 2221380.0
    98 2 3674010.0
    98 3 7634616.0
    99 1 1881572.0
    99 2 3404375.0
    99 3 2879600.0
    100 1 3373608.0
    100 2 3373608.0
    100 3 6913325.0
    101 1 3291750.0
    101 2 13217088.0
    101 3 8538480.0
    102 1 7062664.0
    102 2 7062664.0
    102 3 3668320.0
    103 1 3291750.0
    103 2 8946000.0
    103 3 5052288.0
    104 1 2275000.0
    104 2 3979152.0
    104 3 6198304.0
    105 1 5882400.0
    105 2 2257668.0
    105 3 4978424.0
    106 1 3373608.0
    106 2 2313630.0
    106 3 3831800.0
    107 1 2920632.0
    107 2 3000000.0
    107 3 2645517.0
    108 1 2226078.0
    108 2 2715120.0
    108 3 2676704.0
    109 1 2257668.0
    109 2 2226078.0
    109 3 3155439.0
    110 1 2179775.0
    110 2 10573200.0
    110 3 5778240.0
    111 1 2425668.0
    111 2 3979152.0
    111 3 4617540.0
    112 1 2637732.0
    112 2 6487758.0
    112 3 6913325.0
    113 1 5703024.0
    113 2 4550040.0
    113 3 2049180.0
    114 1 2715120.0
    114 2 2819166.0
    114 3 4411764.0
    115 1 5726448.0
    115 2 2275000.0
    115 3 2104256.0
    116 1 2275000.0
    116 2 2425668.0
    116 3 3655160.0
    117 1 3674010.0
    117 2 2239488.0
    117 3 3539172.0
    118 1 2239488.0
    118 2 9665838.0
    118 3 7238400.0
    119 1 5790960.0
    119 2 5299692.0
    119 3 1993260.0
    120 1 6260400.0
    120 2 3721842.0
    120 3 4468149.0
    121 1 4451832.0
    121 2 5726448.0
    121 3 2781900.0
    122 1 6987968.0
    122 2 5790960.0
    122 3 5737834.0
    123 1 3588480.0
    123 2 2909523.0
    123 3 6913325.0
    124 1 6022800.0
    124 2 1881572.0
    124 3 6913325.0
    125 1 6286644.0
    125 2 2179775.0
    125 3 8812800.0
    126 1 4588275.0
    126 2 3178140.0
    126 3 8812800.0
    127 1 11641938.0
    127 2 4475744.0
    127 3 2520000.0
    128 1 4487748.0
    128 2 5703024.0
    128 3 5012700.0
    129 1 2567812.0
    129 2 2637732.0
    129 3 5346432.0
    130 1 1965600.0
    130 2 2327600.0
    130 3 6672192.0
    131 1 4594934.0
    131 2 2766400.0
    131 3 1725152.0
    132 1 1368880.0
    132 2 6260400.0
    132 3 7203716.0
    133 1 4795440.0
    133 2 6987968.0
    133 3 8361441.0
    134 1 3673800.0
    134 2 4451832.0
    134 3 3987000.0
    135 1 2605578.0
    135 2 1368880.0
    135 3 7648512.0
    136 1 2668050.0
    136 2 7377048.0
    136 3 4554144.0
    137 1 3887856.0
    137 2 3960000.0
    137 3 7324024.0
    138 1 4271909.0
    138 2 3892728.0
    138 3 3374520.0
    139 1 4852680.0
    139 2 2962344.0
    139 3 3192425.0
    140 1 2917980.0
    140 2 11832600.0
    140 3 3810912.0
    141 1 4241040.0
    141 2 3588480.0
    141 3 3009422.0
    142 1 2962344.0
    142 2 6958392.0
    142 3 3466575.0
    143 1 3960000.0
    143 2 2917980.0
    143 3 4675072.0
    144 1 2432564.0
    144 2 4241040.0
    144 3 2902500.0
    145 1 7377048.0
    145 2 1375101.0
    145 3 2181600.0
    146 1 1194804.0
    146 2 2432564.0
    146 3 9158490.0
    147 1 3892728.0
    147 2 1534522.0
    147 3 3215520.0
    148 1 4568602.0
    148 2 1212300.0
    148 3 7648512.0
    149 1 2075688.0
    149 2 2075688.0
    149 3 4362336.0
    150 1 2325600.0
